Category	Value	Fon Kodu	Tarih
Vadeli İşlemler Nakit Teminatları	25,2	KIA	2024-02-04
Kıymetli Madenler Cinsinden BYF	9,54	KIA	2024-02-04
Takasbank Para Piyasası	16,1	KIA	2024-02-04
Finansman Bonosu	9,65	KIA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	54,84	DZM	2024-02-04
Mevduat (Döviz)	0,2	DZM	2024-02-04
Kamu Dış Borçlanma Araçları	44,96	DZM	2024-02-04
Hisse Senedi	95,57	ALC	2024-02-04
Mevduat (TL)	0,08	ALC	2024-02-04
Takasbank Para Piyasası	3,45	ALC	2024-02-04
Devlet Tahvili	0,9	ALC	2024-02-04
Yabancı Hisse Senedi	96,28	AFA	2024-02-04
Diğer	2,07	AFA	2024-02-04
Takasbank Para Piyasası	4,12	AFA	2024-02-04
Yabancı Hisse Senedi	61,28	IJC	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,01	IJC	2024-02-04
Hisse Senedi	36,39	IJC	2024-02-04
Yabancı Borsa Yatırım Fonları	0,2	IJC	2024-02-04
Ters-Repo	2,12	IJC	2024-02-04
Yatırım Fonları Katılma Payları	99,95	GJB	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,05	GJB	2024-02-04
Hisse Senedi	92,85	RBH	2024-02-04
Katılma Hesabı (TL)	2,77	RBH	2024-02-04
Özel Sektör Kira Sertifikaları	4,38	RBH	2024-02-04
Yabancı Hisse Senedi	66,33	MTV	2024-02-04
Kamu Dış Borçlanma Araçları	5,14	MTV	2024-02-04
Hisse Senedi	20,48	MTV	2024-02-04
Takasbank Para Piyasası	8,05	MTV	2024-02-04
Hisse Senedi	85,93	ACK	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,63	ACK	2024-02-04
Takasbank Para Piyasası	10,44	ACK	2024-02-04
Yabancı Borsa Yatırım Fonları	51,61	IJT	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,03	IJT	2024-02-04
Hisse Senedi	34,34	IJT	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,52	IJT	2024-02-04
Yabancı Hisse Senedi	10,48	IJT	2024-02-04
Ters-Repo	3,02	IJT	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	75,8	TLE	2024-02-04
Özel Sektör Tahvili	0,01	TLE	2024-02-04
Yabancı Kamu Borçlanma Araçları	11,11	TLE	2024-02-04
Özel Sektör Dış Borçlanma Araçları	1,16	TLE	2024-02-04
Yatırım Fonları Katılma Payları	5,76	TLE	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,52	TLE	2024-02-04
Hisse Senedi	4,64	TLE	2024-02-04
Hisse Senedi	66,33	FID	2024-02-04
Özel Sektör Tahvili	0,02	FID	2024-02-04
Özel Sektör Dış Borçlanma Araçları	13,64	FID	2024-02-04
Devlet Tahvili	0,06	FID	2024-02-04
Ters-Repo	5,99	FID	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,32	FID	2024-02-04
Yatırım Fonları Katılma Payları	3,55	FID	2024-02-04
Diğer	0,78	FID	2024-02-04
Takasbank Para Piyasası	2,87	FID	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,93	FID	2024-02-04
Mevduat (TL)	2,45	FID	2024-02-04
Kamu Dış Borçlanma Araçları	2,06	FID	2024-02-04
Hisse Senedi	92,31	MPS	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,42	MPS	2024-02-04
Yatırım Fonları Katılma Payları	5,73	MPS	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	1,54	MPS	2024-02-04
Hisse Senedi	83,96	YEF	2024-02-04
Mevduat (TL)	2,72	YEF	2024-02-04
Takasbank Para Piyasası	5,77	YEF	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,67	YEF	2024-02-04
Yatırım Fonları Katılma Payları	3,88	YEF	2024-02-04
Hisse Senedi	95,7	DZE	2024-02-04
Mevduat (TL)	0,72	DZE	2024-02-04
Takasbank Para Piyasası	3,58	DZE	2024-02-04
Hisse Senedi	94,36	OHK	2024-02-04
Yatırım Fonları Katılma Payları	5,64	OHK	2024-02-04
Yatırım Fonları Katılma Payları	77,84	GO4	2024-02-04
Mevduat (TL)	0,37	GO4	2024-02-04
Borsa Yatırım Fonları Katılma Payları	10,91	GO4	2024-02-04
Varlığa Dayalı Menkul Kıymetler	0,72	GO4	2024-02-04
Hisse Senedi	7,16	GO4	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	1,12	GO4	2024-02-04
Finansman Bonosu	1,88	GO4	2024-02-04
Ters-Repo	42,15	IBB	2024-02-04
Özel Sektör Tahvili	0,02	IBB	2024-02-04
Yabancı Kamu Borçlanma Araçları	14,1	IBB	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,66	IBB	2024-02-04
Yatırım Fonları Katılma Payları	12,53	IBB	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	1,55	IBB	2024-02-04
Hisse Senedi	11,8	IBB	2024-02-04
Vadeli İşlemler Nakit Teminatları	7,68	IBB	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	9,51	IBB	2024-02-04
Kamu Dış Borçlanma Araçları	53,8	DBH	2024-02-04
Mevduat (Döviz)	0,03	DBH	2024-02-04
Özel Sektör Dış Borçlanma Araçları	46,17	DBH	2024-02-04
Hisse Senedi	44,3	GMA	2024-02-04
Finansman Bonosu	1,05	GMA	2024-02-04
Yatırım Fonları Katılma Payları	14,54	GMA	2024-02-04
Özel Sektör Kira Sertifikaları	1,53	GMA	2024-02-04
Özel Sektör Tahvili	11,07	GMA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	3,72	GMA	2024-02-04
Takasbank Para Piyasası	10,48	GMA	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,11	GMA	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	4,93	GMA	2024-02-04
Yabancı Hisse Senedi	4,27	GMA	2024-02-04
Yatırım Fonları Katılma Payları	29,09	BDC	2024-02-04
Mevduat (TL)	0,63	BDC	2024-02-04
Hisse Senedi	19,86	BDC	2024-02-04
Diğer	0,97	BDC	2024-02-04
Finansman Bonosu	19,39	BDC	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	4,83	BDC	2024-02-04
Vadeli İşlemler Nakit Teminatları	17,59	BDC	2024-02-04
Özel Sektör Tahvili	7,64	BDC	2024-02-04
Hisse Senedi	34,93	KCV	2024-02-04
Yabancı Borsa Yatırım Fonları	0,45	KCV	2024-02-04
Yabancı Hisse Senedi	22,07	KCV	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	1,47	KCV	2024-02-04
Kıymetli Madenler	18,64	KCV	2024-02-04
Kamu Kira Sertifikaları (Döviz)	3,84	KCV	2024-02-04
Yatırım Fonları Katılma Payları	18,6	KCV	2024-02-04
Yatırım Fonları Katılma Payları	72,63	GVI	2024-02-04
Yabancı Hisse Senedi	0,81	GVI	2024-02-04
Yabancı Borsa Yatırım Fonları	16,31	GVI	2024-02-04
Vadeli İşlemler Nakit Teminatları	10,24	GVI	2024-02-04
Hisse Senedi	44,62	RTP	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	7,46	RTP	2024-02-04
Vadeli İşlemler Nakit Teminatları	35,05	RTP	2024-02-04
Yatırım Fonları Katılma Payları	12,87	RTP	2024-02-04
Yabancı Hisse Senedi	91,02	TMG	2024-02-04
Yabancı Kamu Borçlanma Araçları	0,03	TMG	2024-02-04
Ters-Repo	5,36	TMG	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	0,4	TMG	2024-02-04
Hisse Senedi	1,09	TMG	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,53	TMG	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,95	TMG	2024-02-04
Yatırım Fonları Katılma Payları	0,62	TMG	2024-02-04
Hisse Senedi	40,56	AAK	2024-02-04
Takasbank Para Piyasası	1,67	AAK	2024-02-04
Finansman Bonosu	14,75	AAK	2024-02-04
Diğer	1,72	AAK	2024-02-04
Yatırım Fonları Katılma Payları	14,35	AAK	2024-02-04
Özel Sektör Tahvili	6,52	AAK	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	13,63	AAK	2024-02-04
Devlet Tahvili	6,8	AAK	2024-02-04
Hisse Senedi	59,63	HSA	2024-02-04
Özel Sektör Kira Sertifikaları	0,83	HSA	2024-02-04
Finansman Bonosu	13,71	HSA	2024-02-04
Yatırım Fonları Katılma Payları	2,28	HSA	2024-02-04
Özel Sektör Tahvili	7,75	HSA	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,46	HSA	2024-02-04
Diğer	5,7	HSA	2024-02-04
Devlet Tahvili	3,2	HSA	2024-02-04
Takasbank Para Piyasası	4,44	HSA	2024-02-04
Finansman Bonosu	29,45	OBP	2024-02-04
Yatırım Fonları Katılma Payları	4,07	OBP	2024-02-04
Hisse Senedi	23,15	OBP	2024-02-04
Devlet Tahvili	7,46	OBP	2024-02-04
Takasbank Para Piyasası	14,76	OBP	2024-02-04
Özel Sektör Tahvili	9,86	OBP	2024-02-04
Diğer	11,25	OBP	2024-02-04
Hisse Senedi	34,55	KRF	2024-02-04
Özel Sektör Dış Borçlanma Araçları	4,92	KRF	2024-02-04
Kamu Dış Borçlanma Araçları	25,85	KRF	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	4,98	KRF	2024-02-04
Finansman Bonosu	16,68	KRF	2024-02-04
Vadeli İşlemler Nakit Teminatları	13,02	KRF	2024-02-04
Özel Sektör Dış Borçlanma Araçları	77,34	FJZ	2024-02-04
Kamu Dış Borçlanma Araçları	22,66	FJZ	2024-02-04
Yabancı Hisse Senedi	64,7	GZZ	2024-02-04
Finansman Bonosu	1,08	GZZ	2024-02-04
Hisse Senedi	19,85	GZZ	2024-02-04
Yabancı Borsa Yatırım Fonları	2,02	GZZ	2024-02-04
Vadeli İşlemler Nakit Teminatları	7,2	GZZ	2024-02-04
Takasbank Para Piyasası	5,14	GZZ	2024-02-04
Hisse Senedi	41,57	ICC	2024-02-04
Özel Sektör Tahvili	0,04	ICC	2024-02-04
Finansman Bonosu	31,09	ICC	2024-02-04
Diğer	1,95	ICC	2024-02-04
Yatırım Fonları Katılma Payları	9,45	ICC	2024-02-04
Varlığa Dayalı Menkul Kıymetler	4,45	ICC	2024-02-04
Takasbank Para Piyasası	6,6	ICC	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,85	ICC	2024-02-04
Yabancı Hisse Senedi	63,39	YZC	2024-02-04
Mevduat (Döviz)	0,41	YZC	2024-02-04
Yatırım Fonları Katılma Payları	20,6	YZC	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,7	YZC	2024-02-04
Hisse Senedi	14,9	YZC	2024-02-04
Yabancı Hisse Senedi	76,15	KRS	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	3,08	KRS	2024-02-04
Kamu Dış Borçlanma Araçları	12,75	KRS	2024-02-04
Vadeli İşlemler Nakit Teminatları	8,02	KRS	2024-02-04
Özel Sektör Dış Borçlanma Araçları	52,08	FPE	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,03	FPE	2024-02-04
Kamu Dış Borçlanma Araçları	45,68	FPE	2024-02-04
Takasbank Para Piyasası	2,21	FPE	2024-02-04
Kıymetli Madenler	85,09	GGK	2024-02-04
Mevduat (TL)	0,01	GGK	2024-02-04
Vadeli İşlemler Nakit Teminatları	6,82	GGK	2024-02-04
Kıymetli Madenler Cinsinden BYF	1,77	GGK	2024-02-04
Yatırım Fonları Katılma Payları	6,31	GGK	2024-02-04
Yatırım Fonları Katılma Payları	19,93	EIC	2024-02-04
Özel Sektör Tahvili	0,64	EIC	2024-02-04
Takasbank Para Piyasası	19,92	EIC	2024-02-04
Varlığa Dayalı Menkul Kıymetler	0,66	EIC	2024-02-04
Hisse Senedi	16,1	EIC	2024-02-04
Kamu Kira Sertifikaları (TL)	2,22	EIC	2024-02-04
Özel Sektör Dış Borçlanma Araçları	13,49	EIC	2024-02-04
Devlet Tahvili	2,43	EIC	2024-02-04
Ters-Repo	13,19	EIC	2024-02-04
Diğer	2,51	EIC	2024-02-04
Finansman Bonosu	8,91	EIC	2024-02-04
Hisse Senedi	65,23	GZM	2024-02-04
Yatırım Fonları Katılma Payları	34,77	GZM	2024-02-04
Yabancı Hisse Senedi	60,1	BTE	2024-02-04
Mevduat (TL)	0,02	BTE	2024-02-04
Takasbank Para Piyasası	11,76	BTE	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,39	BTE	2024-02-04
Hisse Senedi	11,07	BTE	2024-02-04
Finansman Bonosu	3,05	BTE	2024-02-04
Yatırım Fonları Katılma Payları	7,66	BTE	2024-02-04
Yabancı Borsa Yatırım Fonları	5,95	BTE	2024-02-04
Yatırım Fonları Katılma Payları	98,09	IUH	2024-02-04
Mevduat (TL)	0,15	IUH	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,76	IUH	2024-02-04
Yabancı Hisse Senedi	50,47	DHM	2024-02-04
Mevduat (TL)	0,77	DHM	2024-02-04
Yatırım Fonları Katılma Payları	31,38	DHM	2024-02-04
Mevduat (Döviz)	1,18	DHM	2024-02-04
Hisse Senedi	11,42	DHM	2024-02-04
Takasbank Para Piyasası	4,78	DHM	2024-02-04
Hisse Senedi	94,35	HBU	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,16	HBU	2024-02-04
Takasbank Para Piyasası	3,49	HBU	2024-02-04
Hisse Senedi	21,53	HPD	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	0,47	HPD	2024-02-04
Özel Sektör Dış Borçlanma Araçları	19,04	HPD	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,78	HPD	2024-02-04
Finansman Bonosu	17,74	HPD	2024-02-04
Özel Sektör Kira Sertifikaları	1,16	HPD	2024-02-04
Yabancı Borsa Yatırım Fonları	8,89	HPD	2024-02-04
Kamu Dış Borçlanma Araçları	1,47	HPD	2024-02-04
Yatırım Fonları Katılma Payları	5,65	HPD	2024-02-04
Devlet Tahvili	1,65	HPD	2024-02-04
Yabancı Hisse Senedi	5,31	HPD	2024-02-04
Özel Sektör Tahvili	3,38	HPD	2024-02-04
Takasbank Para Piyasası	5,28	HPD	2024-02-04
Diğer	3,59	HPD	2024-02-04
Mevduat (TL)	4,06	HPD	2024-02-04
Yabancı Hisse Senedi	61,27	KSR	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	2,68	KSR	2024-02-04
Hisse Senedi	15,85	KSR	2024-02-04
Özel Sektör Kira Sertifikaları	2,96	KSR	2024-02-04
Yatırım Fonları Katılma Payları	11,22	KSR	2024-02-04
Yabancı Borsa Yatırım Fonları	6,02	KSR	2024-02-04
Yabancı Hisse Senedi	58,55	IEV	2024-02-04
Özel Sektör Tahvili	0,33	IEV	2024-02-04
Hisse Senedi	17,59	IEV	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,83	IEV	2024-02-04
Finansman Bonosu	10,8	IEV	2024-02-04
Yatırım Fonları Katılma Payları	0,98	IEV	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	8,35	IEV	2024-02-04
Ters-Repo	2,57	IEV	2024-02-04
Yabancı Hisse Senedi	56,4	IJP	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,32	IJP	2024-02-04
Hisse Senedi	10,03	IJP	2024-02-04
Yatırım Fonları Katılma Payları	1,33	IJP	2024-02-04
Finansman Bonosu	9,53	IJP	2024-02-04
Ters-Repo	2,25	IJP	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	9,02	IJP	2024-02-04
Özel Sektör Tahvili	3,75	IJP	2024-02-04
Yabancı Borsa Yatırım Fonları	6,37	IJP	2024-02-04
Kıymetli Madenler	99,93	KZL	2024-02-04
Yatırım Fonları Katılma Payları	0,07	KZL	2024-02-04
Hisse Senedi	30,44	TI7	2024-02-04
Yatırım Fonları Katılma Payları	2,14	TI7	2024-02-04
Ters-Repo	21,1	TI7	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	2,23	TI7	2024-02-04
Yabancı Hisse Senedi	18,88	TI7	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	3,03	TI7	2024-02-04
Yabancı Borsa Yatırım Fonları	8,58	TI7	2024-02-04
Özel Sektör Tahvili	3,19	TI7	2024-02-04
Vadeli İşlemler Nakit Teminatları	5,64	TI7	2024-02-04
Yabancı Kamu Borçlanma Araçları	4,77	TI7	2024-02-04
Kamu Dış Borçlanma Araçları	80,66	GPC	2024-02-04
Takasbank Para Piyasası	0,01	GPC	2024-02-04
Özel Sektör Dış Borçlanma Araçları	15,7	GPC	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,08	GPC	2024-02-04
Mevduat (Döviz)	2,42	GPC	2024-02-04
Yabancı Kamu Borçlanma Araçları	1,14	GPC	2024-02-04
Özel Sektör Dış Borçlanma Araçları	84,6	OUD	2024-02-04
Diğer	0,41	OUD	2024-02-04
Finansman Bonosu	6,78	OUD	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,16	OUD	2024-02-04
Mevduat (Döviz)	2,75	OUD	2024-02-04
Yatırım Fonları Katılma Payları	1,76	OUD	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	2,54	OUD	2024-02-04
Kamu Kira Sertifikaları (Döviz)	97,63	TPZ	2024-02-04
Katılma Hesabı (TL)	2,37	TPZ	2024-02-04
Hisse Senedi	94,6	AKU	2024-02-04
Mevduat (TL)	0,13	AKU	2024-02-04
Takasbank Para Piyasası	3,68	AKU	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,55	AKU	2024-02-04
Devlet Tahvili	1,04	AKU	2024-02-04
Kamu Dış Borçlanma Araçları	61,77	YBE	2024-02-04
Varlığa Dayalı Menkul Kıymetler	0,01	YBE	2024-02-04
Özel Sektör Dış Borçlanma Araçları	33,36	YBE	2024-02-04
Mevduat (TL)	0,04	YBE	2024-02-04
Mevduat (Döviz)	1,95	YBE	2024-02-04
Özel Sektör Tahvili	0,06	YBE	2024-02-04
Yabancı Kamu Borçlanma Araçları	1,67	YBE	2024-02-04
Yatırım Fonları Katılma Payları	1,14	YBE	2024-02-04
Hisse Senedi	41,14	EBD	2024-02-04
Yatırım Fonları Katılma Payları	11,54	EBD	2024-02-04
Finansman Bonosu	28,55	EBD	2024-02-04
Vadeli İşlemler Nakit Teminatları	18,77	EBD	2024-02-04
Hisse Senedi	93,19	FUA	2024-02-04
Mevduat (TL)	0,19	FUA	2024-02-04
Takasbank Para Piyasası	5,6	FUA	2024-02-04
Devlet Tahvili	1,02	FUA	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	95,82	ODS	2024-02-04
Takasbank Para Piyasası	0,68	ODS	2024-02-04
Yatırım Fonları Katılma Payları	2,21	ODS	2024-02-04
Diğer	1,29	ODS	2024-02-04
Yatırım Fonları Katılma Payları	75,95	ODV	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,03	ODV	2024-02-04
Yabancı Borsa Yatırım Fonları	14,52	ODV	2024-02-04
Özel Sektör Tahvili	1,61	ODV	2024-02-04
Vadeli İşlemler Nakit Teminatları	4,65	ODV	2024-02-04
Takasbank Para Piyasası	3,24	ODV	2024-02-04
Döviz Cinsi Kamu İç Borçlanma Araçları	79,72	RPS	2024-02-04
Diğer	1,05	RPS	2024-02-04
Yatırım Fonları Katılma Payları	9,76	RPS	2024-02-04
Mevduat (Döviz)	9,47	RPS	2024-02-04
Hisse Senedi	93,56	TIE	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,05	TIE	2024-02-04
Takasbank Para Piyasası	6,39	TIE	2024-02-04
Yabancı Hisse Senedi	58,87	DYN	2024-02-04
Mevduat (TL)	0,31	DYN	2024-02-04
Hisse Senedi	28,15	DYN	2024-02-04
Yatırım Fonları Katılma Payları	2,33	DYN	2024-02-04
Takasbank Para Piyasası	10,34	DYN	2024-02-04
Hisse Senedi	76,29	TCD	2024-02-04
Finansman Bonosu	0,43	TCD	2024-02-04
Yabancı Hisse Senedi	8,04	TCD	2024-02-04
Mevduat (Döviz)	0,49	TCD	2024-02-04
Devlet Tahvili	5,74	TCD	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,75	TCD	2024-02-04
Yatırım Fonları Katılma Payları	5,0	TCD	2024-02-04
Takasbank Para Piyasası	2,26	TCD	2024-02-04
Finansman Bonosu	51,36	IYB	2024-02-04
Özel Sektör Tahvili	3,04	IYB	2024-02-04
Vadeli İşlemler Nakit Teminatları	19,39	IYB	2024-02-04
Yatırım Fonları Katılma Payları	7,14	IYB	2024-02-04
Hisse Senedi	19,07	IYB	2024-02-04
Kamu Dış Borçlanma Araçları	50,72	MPN	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	1,27	MPN	2024-02-04
Özel Sektör Dış Borçlanma Araçları	35,75	MPN	2024-02-04
Mevduat (Döviz)	2,92	MPN	2024-02-04
Yatırım Fonları Katılma Payları	9,34	MPN	2024-02-04
Yabancı Hisse Senedi	57,75	KUB	2024-02-04
Özel Sektör Tahvili	0,07	KUB	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	26,94	KUB	2024-02-04
Finansman Bonosu	1,3	KUB	2024-02-04
Vadeli İşlemler Nakit Teminatları	7,75	KUB	2024-02-04
Özel Sektör Dış Borçlanma Araçları	6,19	KUB	2024-02-04
Yatırım Fonları Katılma Payları	86,74	IJH	2024-02-04
Takasbank Para Piyasası	0,15	IJH	2024-02-04
Hisse Senedi	10,15	IJH	2024-02-04
Borsa Yatırım Fonları Katılma Payları	1,07	IJH	2024-02-04
Kıymetli Madenler Cinsinden BYF	1,89	IJH	2024-02-04
Kamu Dış Borçlanma Araçları	62,38	AKE	2024-02-04
Mevduat (TL)	0,05	AKE	2024-02-04
Özel Sektör Dış Borçlanma Araçları	26,58	AKE	2024-02-04
Yatırım Fonları Katılma Payları	0,27	AKE	2024-02-04
Diğer	3,85	AKE	2024-02-04
Finansman Bonosu	1,68	AKE	2024-02-04
Yabancı Kamu Borçlanma Araçları	3,65	AKE	2024-02-04
Ters-Repo	1,83	AKE	2024-02-04
Özel Sektör Tahvili	3,17	AKE	2024-02-04
Hisse Senedi	95,87	GAE	2024-02-04
Takasbank Para Piyasası	1,71	GAE	2024-02-04
Ters-Repo	2,43	GAE	2024-02-04
Hisse Senedi	36,3	OPB	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,49	OPB	2024-02-04
Finansman Bonosu	26,88	OPB	2024-02-04
Takasbank Para Piyasası	3,39	OPB	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	8,66	OPB	2024-02-04
Özel Sektör Tahvili	3,97	OPB	2024-02-04
Özel Sektör Dış Borçlanma Araçları	8,62	OPB	2024-02-04
Diğer	4,74	OPB	2024-02-04
Yatırım Fonları Katılma Payları	5,95	OPB	2024-02-04
Yatırım Fonları Katılma Payları	50,06	HBN	2024-02-04
Özel Sektör Tahvili	0,99	HBN	2024-02-04
Yabancı Borsa Yatırım Fonları	32,17	HBN	2024-02-04
Vadeli İşlemler Nakit Teminatları	2,32	HBN	2024-02-04
Özel Sektör Dış Borçlanma Araçları	4,38	HBN	2024-02-04
Diğer	2,8	HBN	2024-02-04
Finansman Bonosu	3,78	HBN	2024-02-04
Takasbank Para Piyasası	3,5	HBN	2024-02-04
Yabancı Hisse Senedi	57,78	GPG	2024-02-04
Takasbank Para Piyasası	1,08	GPG	2024-02-04
Vadeli İşlemler Nakit Teminatları	16,81	GPG	2024-02-04
Yabancı Kamu Borçlanma Araçları	1,87	GPG	2024-02-04
Hisse Senedi	12,51	GPG	2024-02-04
Yatırım Fonları Katılma Payları	9,95	GPG	2024-02-04
Hisse Senedi	97,6	ZJV	2024-02-04
Yatırım Fonları Katılma Payları	0,01	ZJV	2024-02-04
Ters-Repo	2,39	ZJV	2024-02-04
Yabancı Hisse Senedi	66,8	IKL	2024-02-04
Yabancı Borsa Yatırım Fonları	0,65	IKL	2024-02-04
Finansman Bonosu	12,85	IKL	2024-02-04
Ters-Repo	0,76	IKL	2024-02-04
Yabancı Özel Sektör Borçlanma Araçları	7,03	IKL	2024-02-04
Yatırım Fonları Katılma Payları	0,99	IKL	2024-02-04
Hisse Senedi	7,02	IKL	2024-02-04
Vadeli İşlemler Nakit Teminatları	1,7	IKL	2024-02-04
Özel Sektör Tahvili	2,2	IKL	2024-02-04
Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları	50,99	MKG	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,91	MKG	2024-02-04
Yatırım Fonları Katılma Payları	22,73	MKG	2024-02-04
Hisse Senedi	2,72	MKG	2024-02-04
Kıymetli Madenler	13,75	MKG	2024-02-04
Kıymetli Madenler Cinsinden BYF	8,9	MKG	2024-02-04
Yabancı Hisse Senedi	74,19	ZSF	2024-02-04
Diğer	8,17	ZSF	2024-02-04
Hisse Senedi	17,64	ZSF	2024-02-04
Kamu Dış Borçlanma Araçları	46,8	IPV	2024-02-04
Borsa Yatırım Fonları Katılma Payları	0,1	IPV	2024-02-04
Özel Sektör Dış Borçlanma Araçları	36,34	IPV	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	0,3	IPV	2024-02-04
Yatırım Fonları Katılma Payları	5,73	IPV	2024-02-04
Ters-Repo	1,97	IPV	2024-02-04
Özel Sektör Yurt Dışı Kira Sertifikaları	5,21	IPV	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	3,55	IPV	2024-02-04
Finansman Bonosu	20,04	EIB	2024-02-04
Varlığa Dayalı Menkul Kıymetler	0,68	EIB	2024-02-04
Takasbank Para Piyasası	19,87	EIB	2024-02-04
Özel Sektör Tahvili	1,26	EIB	2024-02-04
Yatırım Fonları Katılma Payları	19,28	EIB	2024-02-04
Diğer	3,63	EIB	2024-02-04
Ters-Repo	11,26	EIB	2024-02-04
Devlet Tahvili	6,85	EIB	2024-02-04
Hisse Senedi	9,76	EIB	2024-02-04
Özel Sektör Dış Borçlanma Araçları	7,37	EIB	2024-02-04
Yatırım Fonları Katılma Payları	57,12	NHP	2024-02-04
Mevduat (Döviz)	4,3	NHP	2024-02-04
Borsa Yatırım Fonları Katılma Payları	27,65	NHP	2024-02-04
Kıymetli Madenler Cinsinden BYF	10,93	NHP	2024-02-04
Hisse Senedi	51,18	HMC	2024-02-04
Mevduat (TL)	0,09	HMC	2024-02-04
Vadeli İşlemler Nakit Teminatları	24,99	HMC	2024-02-04
Özel Sektör Tahvili	2,15	HMC	2024-02-04
Finansman Bonosu	15,57	HMC	2024-02-04
Diğer	6,02	HMC	2024-02-04
Kamu Dış Borçlanma Araçları	67,04	GPA	2024-02-04
Vadeli İşlemler Nakit Teminatları	0,47	GPA	2024-02-04
Özel Sektör Dış Borçlanma Araçları	28,15	GPA	2024-02-04
Mevduat (Döviz)	2,17	GPA	2024-02-04
Takasbank Para Piyasası	2,17	GPA	2024-02-04
Yatırım Fonları Katılma Payları	75,62	IPG	2024-02-04
Ters-Repo	0,12	IPG	2024-02-04
Yabancı Borsa Yatırım Fonları	15,64	IPG	2024-02-04
Girişim Sermayesi Yatırım Fonları Katılma Payları	0,73	IPG	2024-02-04
Vadeli İşlemler Nakit Teminatları	3,34	IPG	2024-02-04
Hisse Senedi	1,7	IPG	2024-02-04
Gayrimenkul Yatırım Fonları Katılma Payları	2,85	IPG	2024-02-04
Yatırım Fonları Katılma Payları	70,37	GO3	2024-02-04
Özel Sektör Tahvili	0,59	GO3	2024-02-04
Borsa Yatırım Fonları Katılma Payları	13,85	GO3	2024-02-04
Varlığa Dayalı Menkul Kıymetler	0,93	GO3	2024-02-04
